DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
APAC,Lango,597,"241,310","37,133",0,"133,372","170,505","5,604","176,109",6,2,2001,8,0,1,0,0
ARUA,West Nile,550,"321,074","72,393",0,"112,419","184,812","9,807","194,619",6,2,2001,6,0,1,0,0
BUNDIBUGYO,Rwenzori,182,"81,461","39,676",1,"3,451","43,127","1,112","44,239",6,2,2001,1,1,0,0,1
BUSHENYI,Ankole,844,"334,236","212,540",1,"46,387","258,927","3,427","262,354",6,2,2001,2,0,0,0,1
GULU,Acholi,460,"250,715","15,320",0,"117,410","132,730","6,076","138,806",6,2,2001,9,0,1,0,0
HOIMA,Bunyoro,259,"129,672","79,101",1,"9,580","88,681","1,965","90,646",6,2,2001,1,1,0,0,1
IGANGA,Busoga,742,"325,880","166,403",1,"36,862","203,265","6,442","209,707",6,2,2001,2,1,0,0,1
JINJA,Busoga,340,"223,425","77,929",1,"39,005","116,934","2,487","119,421",6,5,2001,3,1,0,1,0
KABALE,Kigezi,441,"235,495","189,731",1,"17,768","207,499","1,855","209,354",6,2,2001,1,0,0,0,1
KABAROLE,Toro,298,"159,369","93,414",1,"11,568","104,982","2,642","107,624",6,2,2001,1,1,0,0,1
KALANGALA,Buganda,71,"18,324","7,473",1,"3,658","11,131",246,"11,377",6,2,2001,3,1,0,1,0
KAMPALA,Buganda,1120,"701,895","240,681",0,"266,092","506,773","4,340","511,113",6,8,2001,5,1,1,0,0
KAMULI,Busoga,452,"311,459","186,273",1,"21,143","207,416","5,687","213,103",6,2,2001,1,1,0,0,1
KAPCHORWA,Sebei,215,"77,549","56,802",1,"7,102","63,904","1,117","65,021",6,2,2001,1,0,0,0,1
KASESE,Rwenzori,446,"208,083","90,620",1,"42,863","133,483","2,953","136,436",6,2,2001,3,1,0,1,0
KIBAALE,Bunyoro,407,"163,538","117,325",1,"6,169","123,494","2,627","126,121",6,2,2001,1,1,0,0,1
KIBOGA,Buganda,240,"105,336","61,870",1,"8,031","69,901","1,894","71,795",6,1,2001,1,1,0,0,1
KISORO,Kigezi,202,"96,250","77,177",1,"3,091","80,268","1,087","81,355",6,2,2001,1,0,0,0,1
KITGUM,Acholi,270,"109,637","14,077",0,"52,026","66,103","3,084","69,187",6,2,2001,8,0,1,0,0
KOTIDO,Karamoja,127,"89,502","61,458",1,"2,879","64,337","3,387","67,724",6,2,2001,1,0,0,0,1
KUMI,Teso,306,"148,541","50,472",1,"47,143","97,615","5,499","103,114",6,1,2001,5,0,1,0,0
LIRA,Lango,498,"280,548","40,767",0,"164,299","205,066","6,183","211,249",6,2,2001,8,0,1,0,0
LUWEERO,Buganda,663,"230,585","121,445",1,"31,600","153,045","3,169","156,214",6,2,2001,2,1,0,0,1
MASAKA,Buganda,675,"387,537","152,313",1,"87,197","239,510","5,001","244,511",6,5,2001,4,1,0,1,0
MASINDI,Bunyoro,351,"179,015","88,454",1,"21,248","109,702","3,630","113,332",6,2,2001,2,1,0,0,1
MBALE,Bugisu,829,"326,715","165,730",1,"57,592","223,322","6,876","230,198",6,2,2001,3,0,0,0,1
MBARARA,Ankole,908,"569,137","425,879",1,"39,632","465,511","4,295","469,806",6,4,2001,1,0,0,0,1
MOROTO,Karamoja,393,"99,508","68,330",1,"2,612","70,942","2,644","73,586",6,2,2001,1,0,0,0,1
MOYO,Madi,115,"43,363","15,158",1,"10,657","25,815",957,"26,772",6,2,2001,4,0,0,1,0
